Epoch 1/15 - Train Loss: 2.3054, Train Acc: 0.0981, Val Loss: 2.3038, Val Acc: 0.1055
Epoch 2/15 - Train Loss: 2.3046, Train Acc: 0.1014, Val Loss: 2.3047, Val Acc: 0.1008
Epoch 3/15 - Train Loss: 2.3048, Train Acc: 0.0993, Val Loss: 2.3060, Val Acc: 0.1032
Epoch 4/15 - Train Loss: 2.3047, Train Acc: 0.0986, Val Loss: 2.3058, Val Acc: 0.1003
Epoch 5/15 - Train Loss: 2.3046, Train Acc: 0.1006, Val Loss: 2.3033, Val Acc: 0.0973
Epoch 6/15 - Train Loss: 2.3049, Train Acc: 0.0976, Val Loss: 2.3032, Val Acc: 0.1055
Epoch 7/15 - Train Loss: 2.3047, Train Acc: 0.1003, Val Loss: 2.3042, Val Acc: 0.1055
Epoch 8/15 - Train Loss: 2.3047, Train Acc: 0.1002, Val Loss: 2.3044, Val Acc: 0.0942
Epoch 9/15 - Train Loss: 2.3049, Train Acc: 0.0982, Val Loss: 2.3048, Val Acc: 0.1003
Epoch 10/15 - Train Loss: 2.3047, Train Acc: 0.0993, Val Loss: 2.3074, Val Acc: 0.0973
Epoch 11/15 - Train Loss: 2.3047, Train Acc: 0.0990, Val Loss: 2.3064, Val Acc: 0.1008
Epoch 12/15 - Train Loss: 2.3047, Train Acc: 0.0991, Val Loss: 2.3039, Val Acc: 0.1003
Epoch 13/15 - Train Loss: 2.3045, Train Acc: 0.1000, Val Loss: 2.3056, Val Acc: 0.0973
Epoch 14/15 - Train Loss: 2.3049, Train Acc: 0.0984, Val Loss: 2.3028, Val Acc: 0.1032
Epoch 15/15 - Train Loss: 2.3046, Train Acc: 0.1003, Val Loss: 2.3033, Val Acc: 0.1055
