Epoch 1/15 - Train Loss: 2.3790, Train Acc: 0.0994, Val Loss: 2.3155, Val Acc: 0.1050
Epoch 2/15 - Train Loss: 2.3080, Train Acc: 0.0994, Val Loss: 2.3039, Val Acc: 0.1050
Epoch 3/15 - Train Loss: 2.3034, Train Acc: 0.0924, Val Loss: 2.3032, Val Acc: 0.0995
Epoch 4/15 - Train Loss: 2.3030, Train Acc: 0.0886, Val Loss: 2.3032, Val Acc: 0.0870
Epoch 5/15 - Train Loss: 2.3030, Train Acc: 0.0934, Val Loss: 2.3032, Val Acc: 0.0197
Epoch 6/15 - Train Loss: 2.3029, Train Acc: 0.0893, Val Loss: 2.3030, Val Acc: 0.0787
Epoch 7/15 - Train Loss: 2.3029, Train Acc: 0.1031, Val Loss: 2.3030, Val Acc: 0.0927
Epoch 8/15 - Train Loss: 2.3029, Train Acc: 0.0978, Val Loss: 2.3031, Val Acc: 0.0925
Epoch 9/15 - Train Loss: 2.3029, Train Acc: 0.0942, Val Loss: 2.3030, Val Acc: 0.0895
Epoch 10/15 - Train Loss: 2.3028, Train Acc: 0.1017, Val Loss: 2.3029, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3028, Train Acc: 0.0822, Val Loss: 2.3030, Val Acc: 0.0925
Epoch 12/15 - Train Loss: 2.3028, Train Acc: 0.0928, Val Loss: 2.3030, Val Acc: 0.0725
Epoch 13/15 - Train Loss: 2.3027, Train Acc: 0.1019, Val Loss: 2.3029, Val Acc: 0.0938
Epoch 14/15 - Train Loss: 2.3027, Train Acc: 0.0997, Val Loss: 2.3028, Val Acc: 0.0935
Epoch 15/15 - Train Loss: 2.3027, Train Acc: 0.0988, Val Loss: 2.3029, Val Acc: 0.0925
