Epoch 1/15 - Train Loss: 2.3026, Train Acc: 0.0981, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 2/15 - Train Loss: 2.3026, Train Acc: 0.0991, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 3/15 - Train Loss: 2.3026, Train Acc: 0.0994, Val Loss: 2.3026, Val Acc: 0.0925
[34m[1mwandb[0m: [33mWARNING[0m Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.0994, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 5/15 - Train Loss: 2.3026, Train Acc: 0.0971, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.0999, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.0993, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 8/15 - Train Loss: 2.3026, Train Acc: 0.1001, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.0999, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.0964, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.0993, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.0999, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.0978, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 14/15 - Train Loss: 2.3026, Train Acc: 0.0978, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 15/15 - Train Loss: 2.3026, Train Acc: 0.1000, Val Loss: 2.3026, Val Acc: 0.0942
