Epoch 1/15 - Train Loss: 2.2972, Train Acc: 0.1506, Val Loss: 2.3027, Val Acc: 0.0942
Epoch 2/15 - Train Loss: 2.3026, Train Acc: 0.0995, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 3/15 - Train Loss: 2.3026, Train Acc: 0.0971, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.0983, Val Loss: 2.3026, Val Acc: 0.1055
Epoch 5/15 - Train Loss: 2.3026, Train Acc: 0.0977, Val Loss: 2.3027, Val Acc: 0.0925
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.0992, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.0969, Val Loss: 2.3026, Val Acc: 0.1050
Epoch 8/15 - Train Loss: 2.3026, Train Acc: 0.0994, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.0989, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.0986, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.0991, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.1000, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.0991, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 14/15 - Train Loss: 2.3026, Train Acc: 0.0997, Val Loss: 2.3027, Val Acc: 0.0973
Epoch 15/15 - Train Loss: 2.3026, Train Acc: 0.0989, Val Loss: 2.3026, Val Acc: 0.0973
