C:\Users\skrit\Documents\IntroDL\DA6401_Assgn1\src\activation.py:5: RuntimeWarning: overflow encountered in exp
  return 1 / (1 + np.exp(-z))
C:\Users\skrit\Documents\IntroDL\DA6401_Assgn1\src\optimizers.py:65: RuntimeWarning: overflow encountered in divide
  parameters[key] -= self.learning_rate * (grad + self.weight_decay * parameters[key]) / (np.sqrt(self.s[key]) + self.epsilon)
Epoch 1/15 - Train Loss: nan, Train Acc: 0.1012, Val Loss: nan, Val Acc: 0.1050
Epoch 2/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 3/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 4/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 5/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 6/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 7/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 8/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 9/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 10/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 11/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 12/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 13/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 14/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
Epoch 15/15 - Train Loss: nan, Train Acc: 0.0994, Val Loss: nan, Val Acc: 0.1050
