Epoch 1/15 - Train Loss: 2.3026, Train Acc: 0.0957, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 2/15 - Train Loss: 2.3026, Train Acc: 0.0971, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 3/15 - Train Loss: 2.3026, Train Acc: 0.1017, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 5/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.1011, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 8/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.1010, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 12/15 - Train Loss: 2.3025, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 13/15 - Train Loss: 2.3025, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 14/15 - Train Loss: 2.3025, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 15/15 - Train Loss: 2.3025, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
