Epoch 1/15 - Train Loss: 2.2882, Train Acc: 0.2865, Val Loss: 2.3010, Val Acc: 0.2682
Epoch 2/15 - Train Loss: 2.3022, Train Acc: 0.1399, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 3/15 - Train Loss: 2.3026, Train Acc: 0.1006, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.1006, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 5/15 - Train Loss: 2.3026, Train Acc: 0.0965, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.0990, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.0978, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 8/15 - Train Loss: 2.3026, Train Acc: 0.0988, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.1000, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.1008, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.0996, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.0999, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.0986, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 14/15 - Train Loss: 2.3026, Train Acc: 0.0980, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 15/15 - Train Loss: 2.3026, Train Acc: 0.0979, Val Loss: 2.3026, Val Acc: 0.0925
