Epoch 1/15 - Train Loss: 2.3124, Train Acc: 0.1009, Val Loss: 2.3034, Val Acc: 0.0942
Epoch 2/15 - Train Loss: 2.3030, Train Acc: 0.1021, Val Loss: 2.3036, Val Acc: 0.0942
Epoch 3/15 - Train Loss: 2.3031, Train Acc: 0.0988, Val Loss: 2.3036, Val Acc: 0.0925
Epoch 4/15 - Train Loss: 2.3031, Train Acc: 0.1012, Val Loss: 2.3028, Val Acc: 0.0985
Epoch 5/15 - Train Loss: 2.3030, Train Acc: 0.1007, Val Loss: 2.3034, Val Acc: 0.1000
Epoch 6/15 - Train Loss: 2.3030, Train Acc: 0.1003, Val Loss: 2.3035, Val Acc: 0.0942
Epoch 7/15 - Train Loss: 2.3029, Train Acc: 0.0994, Val Loss: 2.3024, Val Acc: 0.0985
Epoch 8/15 - Train Loss: 2.3030, Train Acc: 0.0994, Val Loss: 2.3033, Val Acc: 0.1008
Epoch 9/15 - Train Loss: 2.3030, Train Acc: 0.1003, Val Loss: 2.3037, Val Acc: 0.0925
Epoch 10/15 - Train Loss: 2.3029, Train Acc: 0.0999, Val Loss: 2.3041, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3028, Train Acc: 0.1026, Val Loss: 2.3027, Val Acc: 0.0942
Epoch 12/15 - Train Loss: 2.3027, Train Acc: 0.1016, Val Loss: 2.3032, Val Acc: 0.0942
Epoch 13/15 - Train Loss: 2.3027, Train Acc: 0.1028, Val Loss: 2.3035, Val Acc: 0.0942
Epoch 14/15 - Train Loss: 2.3028, Train Acc: 0.1010, Val Loss: 2.3027, Val Acc: 0.0985
Epoch 15/15 - Train Loss: 2.3027, Train Acc: 0.1030, Val Loss: 2.3025, Val Acc: 0.1050
