Epoch 1/15 - Train Loss: 2.3013, Train Acc: 0.1103, Val Loss: 2.3026, Val Acc: 0.1027
Epoch 2/15 - Train Loss: 2.3026, Train Acc: 0.0972, Val Loss: 2.3026, Val Acc: 0.0973
Epoch 3/15 - Train Loss: 2.3026, Train Acc: 0.1001, Val Loss: 2.3025, Val Acc: 0.1055
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.0981, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 5/15 - Train Loss: 2.3026, Train Acc: 0.0983, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.0982, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.0984, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 8/15 - Train Loss: 2.3026, Train Acc: 0.0982, Val Loss: 2.3026, Val Acc: 0.1008
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.0979, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.0986, Val Loss: 2.3028, Val Acc: 0.0942
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.1005, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.0988, Val Loss: 2.3026, Val Acc: 0.1027
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.1016, Val Loss: 2.3025, Val Acc: 0.1050
Epoch 14/15 - Train Loss: 2.3026, Train Acc: 0.0989, Val Loss: 2.3027, Val Acc: 0.0925
Epoch 15/15 - Train Loss: 2.3026, Train Acc: 0.0997, Val Loss: 2.3027, Val Acc: 0.0925
