Epoch 1/15 - Train Loss: 2.3126, Train Acc: 0.0991, Val Loss: 2.3039, Val Acc: 0.0942
Epoch 2/15 - Train Loss: 2.3031, Train Acc: 0.0993, Val Loss: 2.3028, Val Acc: 0.1008
Epoch 3/15 - Train Loss: 2.3031, Train Acc: 0.0977, Val Loss: 2.3033, Val Acc: 0.1580
Epoch 4/15 - Train Loss: 2.3031, Train Acc: 0.1008, Val Loss: 2.3027, Val Acc: 0.0942
Epoch 5/15 - Train Loss: 2.3031, Train Acc: 0.0991, Val Loss: 2.3030, Val Acc: 0.1055
Epoch 6/15 - Train Loss: 2.3031, Train Acc: 0.0961, Val Loss: 2.3025, Val Acc: 0.1008
Epoch 7/15 - Train Loss: 2.3029, Train Acc: 0.1006, Val Loss: 2.3025, Val Acc: 0.1008
Epoch 8/15 - Train Loss: 2.3029, Train Acc: 0.1003, Val Loss: 2.3034, Val Acc: 0.0942
Epoch 9/15 - Train Loss: 2.3030, Train Acc: 0.0993, Val Loss: 2.3032, Val Acc: 0.1008
Epoch 10/15 - Train Loss: 2.3030, Train Acc: 0.0996, Val Loss: 2.3033, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3029, Train Acc: 0.0999, Val Loss: 2.3035, Val Acc: 0.0942
Epoch 12/15 - Train Loss: 2.3029, Train Acc: 0.0987, Val Loss: 2.3025, Val Acc: 0.0985
Epoch 13/15 - Train Loss: 2.3028, Train Acc: 0.1018, Val Loss: 2.3028, Val Acc: 0.1008
Epoch 14/15 - Train Loss: 2.3029, Train Acc: 0.1015, Val Loss: 2.3025, Val Acc: 0.0985
Epoch 15/15 - Train Loss: 2.3028, Train Acc: 0.1009, Val Loss: 2.3025, Val Acc: 0.1008
