Epoch 1/15 - Train Loss: 2.2955, Train Acc: 0.1937, Val Loss: 2.3026, Val Acc: 0.1032
Epoch 2/15 - Train Loss: 2.3026, Train Acc: 0.0981, Val Loss: 2.3026, Val Acc: 0.0973
Epoch 3/15 - Train Loss: 2.3026, Train Acc: 0.1003, Val Loss: 2.3026, Val Acc: 0.0985
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.0958, Val Loss: 2.3026, Val Acc: 0.0973
Epoch 5/15 - Train Loss: 2.3026, Train Acc: 0.0962, Val Loss: 2.3026, Val Acc: 0.1050
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.0997, Val Loss: 2.3026, Val Acc: 0.1008
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.0997, Val Loss: 2.3026, Val Acc: 0.0925
Epoch 8/15 - Train Loss: 2.3026, Train Acc: 0.1000, Val Loss: 2.3027, Val Acc: 0.1003
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.0994, Val Loss: 2.3026, Val Acc: 0.0942
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.0990, Val Loss: 2.3026, Val Acc: 0.1008
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.0995, Val Loss: 2.3026, Val Acc: 0.1050
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.0995, Val Loss: 2.3026, Val Acc: 0.1003
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.0982, Val Loss: 2.3027, Val Acc: 0.0925
Epoch 14/15 - Train Loss: 2.3026, Train Acc: 0.0995, Val Loss: 2.3027, Val Acc: 0.0942
Epoch 15/15 - Train Loss: 2.3026, Train Acc: 0.1005, Val Loss: 2.3026, Val Acc: 0.1027
