Epoch 1/15 - Train Loss: 2.4068, Train Acc: 0.1000, Val Loss: 2.3399, Val Acc: 0.0985
Epoch 2/15 - Train Loss: 2.3154, Train Acc: 0.0942, Val Loss: 2.3084, Val Acc: 0.0953
Epoch 3/15 - Train Loss: 2.3042, Train Acc: 0.0842, Val Loss: 2.3040, Val Acc: 0.0982
Epoch 4/15 - Train Loss: 2.3030, Train Acc: 0.0918, Val Loss: 2.3031, Val Acc: 0.1000
Epoch 5/15 - Train Loss: 2.3029, Train Acc: 0.0818, Val Loss: 2.3031, Val Acc: 0.0913
Epoch 6/15 - Train Loss: 2.3028, Train Acc: 0.0877, Val Loss: 2.3029, Val Acc: 0.0867
Epoch 7/15 - Train Loss: 2.3028, Train Acc: 0.0927, Val Loss: 2.3029, Val Acc: 0.0925
Epoch 8/15 - Train Loss: 2.3027, Train Acc: 0.0983, Val Loss: 2.3029, Val Acc: 0.1273
Epoch 9/15 - Train Loss: 2.3027, Train Acc: 0.0942, Val Loss: 2.3028, Val Acc: 0.1020
Epoch 10/15 - Train Loss: 2.3027, Train Acc: 0.1062, Val Loss: 2.3028, Val Acc: 0.0925
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.0948, Val Loss: 2.3028, Val Acc: 0.1495
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.1099, Val Loss: 2.3026, Val Acc: 0.0887
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.1140, Val Loss: 2.3026, Val Acc: 0.0787
Epoch 14/15 - Train Loss: 2.3025, Train Acc: 0.1015, Val Loss: 2.3027, Val Acc: 0.0942
Epoch 15/15 - Train Loss: 2.3025, Train Acc: 0.0913, Val Loss: 2.3026, Val Acc: 0.1298
