[34m[1mwandb[0m: [33mWARNING[0m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Epoch 1/30 - Train Loss: 2.4186, Train Acc: 0.1723, Val Loss: 2.7096, Val Acc: 0.1027
Epoch 2/30 - Train Loss: 2.6670, Train Acc: 0.0993, Val Loss: 2.4967, Val Acc: 0.1008
Epoch 3/30 - Train Loss: 2.6560, Train Acc: 0.0998, Val Loss: 2.6953, Val Acc: 0.1003
Epoch 4/30 - Train Loss: 2.6521, Train Acc: 0.0989, Val Loss: 2.4013, Val Acc: 0.0985
Epoch 5/30 - Train Loss: 2.6483, Train Acc: 0.0992, Val Loss: 2.8975, Val Acc: 0.1050
Epoch 6/30 - Train Loss: 2.6736, Train Acc: 0.1030, Val Loss: 2.3860, Val Acc: 0.0985
Epoch 7/30 - Train Loss: 2.6647, Train Acc: 0.1010, Val Loss: 2.6059, Val Acc: 0.1003
Epoch 8/30 - Train Loss: 2.6830, Train Acc: 0.0990, Val Loss: 2.4319, Val Acc: 0.0942
Epoch 9/30 - Train Loss: 2.6494, Train Acc: 0.1007, Val Loss: 2.9626, Val Acc: 0.1055
Epoch 10/30 - Train Loss: 2.6472, Train Acc: 0.0983, Val Loss: 2.4796, Val Acc: 0.1003
Epoch 11/30 - Train Loss: 2.6912, Train Acc: 0.0995, Val Loss: 2.3836, Val Acc: 0.0942
Epoch 12/30 - Train Loss: 2.6539, Train Acc: 0.1004, Val Loss: 2.4539, Val Acc: 0.1050
Epoch 13/30 - Train Loss: 2.6920, Train Acc: 0.1001, Val Loss: 2.8593, Val Acc: 0.0942
Epoch 14/30 - Train Loss: 2.6608, Train Acc: 0.0999, Val Loss: 2.8183, Val Acc: 0.1008
Epoch 15/30 - Train Loss: 2.6795, Train Acc: 0.1000, Val Loss: 2.9062, Val Acc: 0.1055
Epoch 16/30 - Train Loss: 2.6732, Train Acc: 0.1009, Val Loss: 2.6601, Val Acc: 0.1050
Epoch 17/30 - Train Loss: 2.6756, Train Acc: 0.0962, Val Loss: 2.8510, Val Acc: 0.0973
Epoch 18/30 - Train Loss: 2.6740, Train Acc: 0.1012, Val Loss: 2.9893, Val Acc: 0.0942
Epoch 19/30 - Train Loss: 2.6959, Train Acc: 0.0995, Val Loss: 2.7658, Val Acc: 0.0973
Epoch 20/30 - Train Loss: 2.6677, Train Acc: 0.0985, Val Loss: 2.6060, Val Acc: 0.1055
Epoch 21/30 - Train Loss: 2.6319, Train Acc: 0.0997, Val Loss: 2.4102, Val Acc: 0.1008
Epoch 22/30 - Train Loss: 2.6671, Train Acc: 0.0989, Val Loss: 2.4005, Val Acc: 0.1050
Epoch 23/30 - Train Loss: 2.6310, Train Acc: 0.1011, Val Loss: 2.5804, Val Acc: 0.1055
Epoch 24/30 - Train Loss: 2.6490, Train Acc: 0.0993, Val Loss: 2.4533, Val Acc: 0.1027
Epoch 25/30 - Train Loss: 2.6498, Train Acc: 0.1009, Val Loss: 2.6685, Val Acc: 0.1027
Epoch 26/30 - Train Loss: 2.6943, Train Acc: 0.1016, Val Loss: 2.6543, Val Acc: 0.1008
Epoch 27/30 - Train Loss: 2.6451, Train Acc: 0.0976, Val Loss: 2.7046, Val Acc: 0.0985
Epoch 28/30 - Train Loss: 2.6857, Train Acc: 0.1006, Val Loss: 3.1890, Val Acc: 0.0942
Epoch 29/30 - Train Loss: 2.6447, Train Acc: 0.1002, Val Loss: 2.8749, Val Acc: 0.1003
Epoch 30/30 - Train Loss: 2.6601, Train Acc: 0.1008, Val Loss: 2.6599, Val Acc: 0.0925
