Epoch 1/30 - Train Loss: 2.6143, Train Acc: 0.0988, Val Loss: 2.7409, Val Acc: 0.0925
Epoch 2/30 - Train Loss: 2.5915, Train Acc: 0.1000, Val Loss: 2.5219, Val Acc: 0.0985
Epoch 3/30 - Train Loss: 2.5699, Train Acc: 0.0978, Val Loss: 2.4429, Val Acc: 0.1003
Epoch 4/30 - Train Loss: 2.5863, Train Acc: 0.1010, Val Loss: 2.7440, Val Acc: 0.0985
Epoch 5/30 - Train Loss: 2.5623, Train Acc: 0.1032, Val Loss: 2.5420, Val Acc: 0.0925
Epoch 6/30 - Train Loss: 2.5855, Train Acc: 0.0989, Val Loss: 2.5898, Val Acc: 0.1008
Epoch 7/30 - Train Loss: 2.5793, Train Acc: 0.0997, Val Loss: 2.6676, Val Acc: 0.1032
Epoch 8/30 - Train Loss: 2.5884, Train Acc: 0.1004, Val Loss: 2.5434, Val Acc: 0.0985
Epoch 9/30 - Train Loss: 2.5816, Train Acc: 0.1009, Val Loss: 2.7674, Val Acc: 0.1027
Epoch 10/30 - Train Loss: 2.5635, Train Acc: 0.0978, Val Loss: 2.8098, Val Acc: 0.1032
Epoch 11/30 - Train Loss: 2.5758, Train Acc: 0.1000, Val Loss: 2.4440, Val Acc: 0.1003
Epoch 12/30 - Train Loss: 2.5766, Train Acc: 0.1002, Val Loss: 2.4281, Val Acc: 0.1008
Epoch 13/30 - Train Loss: 2.5762, Train Acc: 0.1019, Val Loss: 2.9681, Val Acc: 0.1008
Epoch 14/30 - Train Loss: 2.5969, Train Acc: 0.1002, Val Loss: 2.5010, Val Acc: 0.0973
Epoch 15/30 - Train Loss: 2.5885, Train Acc: 0.1013, Val Loss: 2.6754, Val Acc: 0.0985
Epoch 16/30 - Train Loss: 2.5673, Train Acc: 0.1019, Val Loss: 2.6321, Val Acc: 0.1003
Epoch 17/30 - Train Loss: 2.5892, Train Acc: 0.0992, Val Loss: 2.5113, Val Acc: 0.1050
Epoch 18/30 - Train Loss: 2.5753, Train Acc: 0.0992, Val Loss: 2.4815, Val Acc: 0.1055
Epoch 19/30 - Train Loss: 2.5812, Train Acc: 0.1010, Val Loss: 2.5117, Val Acc: 0.1050
Epoch 20/30 - Train Loss: 2.5859, Train Acc: 0.1015, Val Loss: 2.6497, Val Acc: 0.0942
Epoch 21/30 - Train Loss: 2.5847, Train Acc: 0.1005, Val Loss: 2.7073, Val Acc: 0.1055
Epoch 22/30 - Train Loss: 2.5686, Train Acc: 0.1009, Val Loss: 2.6792, Val Acc: 0.1050
Epoch 23/30 - Train Loss: 2.5791, Train Acc: 0.1010, Val Loss: 2.5375, Val Acc: 0.0973
Epoch 24/30 - Train Loss: 2.5781, Train Acc: 0.1001, Val Loss: 2.5122, Val Acc: 0.1050
Epoch 25/30 - Train Loss: 2.5928, Train Acc: 0.0987, Val Loss: 2.9067, Val Acc: 0.0973
Epoch 26/30 - Train Loss: 2.5724, Train Acc: 0.1021, Val Loss: 2.6264, Val Acc: 0.0942
Epoch 27/30 - Train Loss: 2.5709, Train Acc: 0.1003, Val Loss: 2.5169, Val Acc: 0.0942
Epoch 28/30 - Train Loss: 2.5952, Train Acc: 0.1000, Val Loss: 2.6647, Val Acc: 0.0973
Epoch 29/30 - Train Loss: 2.5784, Train Acc: 0.0996, Val Loss: 2.7594, Val Acc: 0.0973
Epoch 30/30 - Train Loss: 2.5907, Train Acc: 0.0985, Val Loss: 2.4892, Val Acc: 0.0925
