Epoch 1/30 - Train Loss: 2.6882, Train Acc: 0.1000, Val Loss: 2.6970, Val Acc: 0.1050
Epoch 2/30 - Train Loss: 2.6466, Train Acc: 0.1001, Val Loss: 2.5678, Val Acc: 0.0985
Epoch 3/30 - Train Loss: 2.6267, Train Acc: 0.0992, Val Loss: 2.5494, Val Acc: 0.0925
Epoch 4/30 - Train Loss: 2.6481, Train Acc: 0.0997, Val Loss: 2.5089, Val Acc: 0.0985
Epoch 5/30 - Train Loss: 2.6698, Train Acc: 0.0996, Val Loss: 2.8574, Val Acc: 0.1050
Epoch 6/30 - Train Loss: 2.6470, Train Acc: 0.1008, Val Loss: 2.5439, Val Acc: 0.0973
Epoch 7/30 - Train Loss: 2.6859, Train Acc: 0.0976, Val Loss: 2.8148, Val Acc: 0.1055
Epoch 8/30 - Train Loss: 2.6734, Train Acc: 0.0986, Val Loss: 3.2884, Val Acc: 0.1027
Epoch 9/30 - Train Loss: 2.6623, Train Acc: 0.0989, Val Loss: 3.0261, Val Acc: 0.0942
Epoch 10/30 - Train Loss: 2.6457, Train Acc: 0.1013, Val Loss: 2.5059, Val Acc: 0.0973
Epoch 11/30 - Train Loss: 2.6495, Train Acc: 0.0998, Val Loss: 2.6887, Val Acc: 0.1003
Epoch 12/30 - Train Loss: 2.6855, Train Acc: 0.1020, Val Loss: 2.5392, Val Acc: 0.0973
Epoch 13/30 - Train Loss: 2.6576, Train Acc: 0.1011, Val Loss: 2.6752, Val Acc: 0.0973
Epoch 14/30 - Train Loss: 2.6626, Train Acc: 0.1015, Val Loss: 2.7721, Val Acc: 0.1050
Epoch 15/30 - Train Loss: 2.6563, Train Acc: 0.1013, Val Loss: 2.3950, Val Acc: 0.0985
Epoch 16/30 - Train Loss: 2.6599, Train Acc: 0.0984, Val Loss: 2.9130, Val Acc: 0.1055
Epoch 17/30 - Train Loss: 2.6852, Train Acc: 0.0997, Val Loss: 2.7190, Val Acc: 0.0973
Epoch 18/30 - Train Loss: 2.6567, Train Acc: 0.0997, Val Loss: 2.5503, Val Acc: 0.1008
Epoch 19/30 - Train Loss: 2.6719, Train Acc: 0.0978, Val Loss: 2.6060, Val Acc: 0.0925
Epoch 20/30 - Train Loss: 2.6501, Train Acc: 0.0979, Val Loss: 2.5768, Val Acc: 0.0942
Epoch 21/30 - Train Loss: 2.6607, Train Acc: 0.0983, Val Loss: 2.8048, Val Acc: 0.1003
Epoch 22/30 - Train Loss: 2.6740, Train Acc: 0.1011, Val Loss: 2.7814, Val Acc: 0.1008
Epoch 23/30 - Train Loss: 2.6611, Train Acc: 0.0999, Val Loss: 2.5306, Val Acc: 0.0925
Epoch 24/30 - Train Loss: 2.6713, Train Acc: 0.1013, Val Loss: 2.5600, Val Acc: 0.0942
Epoch 25/30 - Train Loss: 2.6966, Train Acc: 0.1015, Val Loss: 2.7163, Val Acc: 0.1032
Epoch 26/30 - Train Loss: 2.6324, Train Acc: 0.1001, Val Loss: 2.6579, Val Acc: 0.1027
Epoch 27/30 - Train Loss: 2.6588, Train Acc: 0.0994, Val Loss: 2.4863, Val Acc: 0.1032
Epoch 28/30 - Train Loss: 2.6848, Train Acc: 0.1004, Val Loss: 2.8455, Val Acc: 0.0942
Epoch 29/30 - Train Loss: 2.6667, Train Acc: 0.1002, Val Loss: 2.6644, Val Acc: 0.1027
Epoch 30/30 - Train Loss: 2.6773, Train Acc: 0.0982, Val Loss: 2.5984, Val Acc: 0.1050
