Epoch 1/30 - Train Loss: 2.6079, Train Acc: 0.1002, Val Loss: 2.4179, Val Acc: 0.0942
Epoch 2/30 - Train Loss: 2.5951, Train Acc: 0.0996, Val Loss: 2.4818, Val Acc: 0.0973
Epoch 3/30 - Train Loss: 2.5847, Train Acc: 0.1001, Val Loss: 2.5678, Val Acc: 0.0925
Epoch 4/30 - Train Loss: 2.5801, Train Acc: 0.1010, Val Loss: 2.5536, Val Acc: 0.1027
Epoch 5/30 - Train Loss: 2.5681, Train Acc: 0.1007, Val Loss: 2.7238, Val Acc: 0.1008
Epoch 6/30 - Train Loss: 2.5884, Train Acc: 0.0996, Val Loss: 2.5780, Val Acc: 0.1027
Epoch 7/30 - Train Loss: 2.5868, Train Acc: 0.0984, Val Loss: 2.9452, Val Acc: 0.0942
Epoch 8/30 - Train Loss: 2.5875, Train Acc: 0.1001, Val Loss: 2.9627, Val Acc: 0.0942
Epoch 9/30 - Train Loss: 2.5786, Train Acc: 0.1001, Val Loss: 2.5022, Val Acc: 0.1027
Epoch 10/30 - Train Loss: 2.5807, Train Acc: 0.1009, Val Loss: 2.5768, Val Acc: 0.0942
Epoch 11/30 - Train Loss: 2.5882, Train Acc: 0.0990, Val Loss: 2.6146, Val Acc: 0.0925
Epoch 12/30 - Train Loss: 2.5617, Train Acc: 0.0995, Val Loss: 2.9595, Val Acc: 0.0925
Epoch 13/30 - Train Loss: 2.5728, Train Acc: 0.1018, Val Loss: 2.5268, Val Acc: 0.0985
Epoch 14/30 - Train Loss: 2.5824, Train Acc: 0.1005, Val Loss: 2.6031, Val Acc: 0.0925
Epoch 15/30 - Train Loss: 2.5807, Train Acc: 0.0998, Val Loss: 2.4772, Val Acc: 0.0925
Epoch 16/30 - Train Loss: 2.5755, Train Acc: 0.1010, Val Loss: 2.4792, Val Acc: 0.1032
Epoch 17/30 - Train Loss: 2.5820, Train Acc: 0.0997, Val Loss: 2.5274, Val Acc: 0.0942
Epoch 18/30 - Train Loss: 2.5796, Train Acc: 0.0991, Val Loss: 2.5199, Val Acc: 0.1008
Epoch 19/30 - Train Loss: 2.5862, Train Acc: 0.0984, Val Loss: 2.8482, Val Acc: 0.0973
Epoch 20/30 - Train Loss: 2.5995, Train Acc: 0.0994, Val Loss: 2.9302, Val Acc: 0.1055
Epoch 21/30 - Train Loss: 2.5689, Train Acc: 0.1015, Val Loss: 2.8403, Val Acc: 0.1008
Epoch 22/30 - Train Loss: 2.5877, Train Acc: 0.0991, Val Loss: 2.4450, Val Acc: 0.1032
Epoch 23/30 - Train Loss: 2.5897, Train Acc: 0.0996, Val Loss: 2.6604, Val Acc: 0.1003
Epoch 24/30 - Train Loss: 2.5677, Train Acc: 0.1006, Val Loss: 2.7293, Val Acc: 0.0925
Epoch 25/30 - Train Loss: 2.6061, Train Acc: 0.1003, Val Loss: 2.6198, Val Acc: 0.1008
Epoch 26/30 - Train Loss: 2.5869, Train Acc: 0.0984, Val Loss: 2.5048, Val Acc: 0.1027
Epoch 27/30 - Train Loss: 2.5713, Train Acc: 0.1005, Val Loss: 2.5153, Val Acc: 0.0973
Epoch 28/30 - Train Loss: 2.5713, Train Acc: 0.1019, Val Loss: 2.8873, Val Acc: 0.0942
Epoch 29/30 - Train Loss: 2.5984, Train Acc: 0.0989, Val Loss: 2.5869, Val Acc: 0.0942
Epoch 30/30 - Train Loss: 2.5836, Train Acc: 0.1006, Val Loss: 2.6128, Val Acc: 0.1003
